# Date:     2019-08-23 03:15:54
# Database: ocvs
# Target:   all_cepheids
# Query:    sep(RA,Decl,5:13:29,-65:31:15)<=1000'' 
# Objects:  41
# Columns:
  ID	Mode	RA	Decl	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-CEP-3673	F	 5:11:17.55	-65:31:52.6	15.110	15.880	3.8247852	0.0000073	6001.30012	0.333	0.372	4.644	0.144	3.069	-99.99	-99.99	LMC513.02.48	-99.99	
OGLE-LMC-CEP-3683	1	 5:11:52.48	-65:33:10.0	17.701	18.212	0.3475875	0.0000004	6000.05827	0.238	0.074	2.864	0.080	5.762	-99.99	-99.99	LMC513.01.544	-99.99	
OGLE-LMC-CEP-3693	F	 5:12:14.58	-65:40:17.6	15.363	16.116	2.9748589	0.0000148	6001.98994	0.272	0.305	4.416	0.094	2.466	-99.99	-99.99	LMC512.26.13053	-99.99	
OGLE-LMC-CEP-3694	1	 5:12:18.84	-65:23:13.7	15.042	15.607	2.3208792	0.0000061	6000.97862	0.274	0.100	4.521	0.011	4.930	-99.99	-99.99	LMC513.01.11273	HV12192	
OGLE-LMC-CEP-3697	F	 5:12:24.86	-65:22:26.7	15.453	16.182	2.9593538	0.0000069	6002.87608	0.290	0.348	4.486	0.139	2.776	-99.99	-99.99	LMC513.01.11278	-99.99	
OGLE-LMC-CEP-3704	F	 5:12:34.31	-65:35:45.3	15.199	15.961	3.4653705	0.0000076	6001.11869	0.396	0.396	4.570	0.178	2.893	-99.99	-99.99	LMC506.25.39	HV12193	
OGLE-LMC-CEP-3706	F	 5:12:35.86	-65:31:38.6	15.277	15.979	3.2047149	0.0000061	6002.25115	0.442	0.446	4.568	0.235	2.880	-99.99	-99.99	LMC506.25.59	HV12194	
OGLE-LMC-CEP-3709	F	 5:12:46.32	-65:26:43.2	15.168	15.834	3.1130828	0.0000061	6002.36037	0.393	0.455	4.551	0.242	2.891	-99.99	-99.99	LMC513.01.11256	HV12196	
OGLE-LMC-CEP-3711	1	 5:12:47.01	-65:45:21.5	15.279	15.933	2.1304132	0.0000189	6000.07586	0.172	0.091	4.749	0.031	3.264	-99.99	-99.99	LMC506.16.10207	-99.99	
OGLE-LMC-CEP-3721	F	 5:13:20.80	-65:24:57.9	15.422	16.157	2.9429668	0.0000051	6001.84365	0.294	0.354	4.506	0.139	2.845	-99.99	-99.99	LMC506.25.13228	-99.99	
OGLE-LMC-CEP-3723	F	 5:13:22.15	-65:30:12.6	15.372	16.116	3.1437642	0.0000075	6000.89968	0.332	0.365	4.527	0.152	2.838	-99.99	-99.99	LMC506.25.71	HV12197	
OGLE-LMC-CEP-3724	F	 5:13:25.14	-65:29:29.3	15.570	16.283	2.6391571	0.0000031	6002.25337	0.430	0.452	4.458	0.228	2.760	-99.99	-99.99	LMC506.25.78	HV12199	
OGLE-LMC-CEP-3726	F	 5:13:26.68	-65:27:05.1	15.230	15.970	3.5227781	0.0000065	6002.00330	0.393	0.416	4.649	0.202	3.070	-99.99	-99.99	LMC506.25.13201	HV12198	
OGLE-LMC-CEP-3728	F	 5:13:30.60	-65:25:56.1	15.394	16.123	3.0845608	0.0000074	6002.52792	0.312	0.368	4.506	0.143	2.828	-99.99	-99.99	LMC506.25.13221	V1/NGC1866	
OGLE-LMC-CEP-3731	F	 5:13:36.50	-65:28:04.9	15.223	15.762	3.0693016	0.0000170	6000.97211	0.184	0.297	4.430	0.090	2.807	-99.99	-99.99	LMC506.25.108	-99.99	
OGLE-LMC-CEP-3733	F	 5:13:37.52	-65:28:00.4	15.285	16.064	3.2899354	0.0000116	6000.70099	0.212	0.292	4.538	0.088	2.807	-99.99	-99.99	LMC506.25.118	We6/NGC1866	
OGLE-LMC-CEP-3734	F	 5:13:37.66	-65:27:14.7	15.356	16.085	3.3181158	0.0000143	6001.54309	0.163	0.221	4.469	0.053	2.771	-99.99	-99.99	LMC506.25.13199	V4/NGC1866	
